BATCH,ID,STRAT,MISSES,HITS
7,12,KH,10,49
7,6,KH,10,24
7,19,KH,10,60
7,5,KH,10,31
7,2,KH,10,57
7,33,KH,10,36
7,4,KH,10,47
7,24,KH,10,34
7,20,KH,10,60
7,36,KH,10,35
7,9,KH,10,21
7,13,KH,10,49
7,15,KH,10,33
7,7,KH,10,23
7,31,KH,10,52
7,34,KH,10,37
7,23,KH,10,42
7,25,KH,10,34
7,26,KH,10,33
7,18,KH,10,24
7,11,KH,10,57
7,10,KH,10,59
7,32,KH,10,44
7,22,KH,10,52
7,8,KH,10,21
7,17,KH,10,25
7,1,KH,10,57
7,21,KH,10,59
7,30,KH,10,60
7,27,KH,10,34
7,3,KH,10,49
7,28,KH,10,60
7,14,KH,10,39
7,35,KH,10,36
7,29,KH,10,60
7,16,KH,10,25
