1,1,1,1
2,1.433,1,2
3,1.671,1,3
4,1.895,1,4
5,2.082,1,5
6,2.265,1,6
7,2.369,1,6
8,2.478,1,6
9,2.515,1,6
10,2.636,1,7
11,2.682,1,6
12,2.688,1,7
13,2.749,1,7
14,2.843,1,7
15,2.937,1,8
16,2.79,1,8
17,2.964,1,9
18,3.012,1,7
19,3.05,1,8
20,3.013,1,9
21,3.076,1,9
22,3.026,1,10
23,3.059,1,8
24,3.084,1,8
25,3.09,1,9
26,3.127,1,8
27,2.931,1,8
28,3.181,1,10
29,3.096,1,8
30,3.133,1,9
31,3.156,1,8
32,3.069,1,10
33,3.068,1,8
34,3.153,1,9
35,3.067,1,9
36,3.169,1,8
37,3.014,1,9
38,3.147,1,9
39,3.172,1,8
40,3.069,1,9
41,3.093,1,9
42,3.149,1,10
43,3.091,1,9
44,3.057,1,8
45,3.084,1,9
46,3.149,1,9
47,3.137,1,10
48,3.112,1,9
49,3.145,1,10
50,3.078,1,10
51,3.019,1,12
52,3.054,1,9
53,2.959,1,10
54,3.022,1,9
55,2.996,1,10
56,3.056,1,10
57,2.916,1,10
58,3.049,1,10
59,2.944,1,9
60,3.041,1,9
61,2.934,1,10
62,2.929,1,10
63,2.957,1,11
64,2.853,1,10
65,2.938,1,9
66,2.943,1,10
67,2.953,1,9
68,2.985,1,10
69,2.947,1,8
70,2.941,1,9
71,2.939,1,10
72,2.947,1,12
73,2.816,1,10
74,2.884,1,9
75,2.895,1,11
76,2.871,1,11
77,2.782,1,10
78,2.808,1,11
79,2.735,1,10
80,2.761,1,9
81,2.79,1,9
82,2.826,1,9
83,2.77,1,10
84,2.685,1,9
85,2.772,1,11
86,2.614,1,10
87,2.662,1,10
88,2.643,1,9
89,2.793,1,9
90,2.835,1,9
91,2.695,1,9
92,2.751,1,10
93,2.701,1,9
94,2.658,1,10
95,2.618,1,10
96,2.581,1,11
97,2.606,1,12
98,2.668,1,9
99,2.576,1,9
100,2.605,1,9
