10,5.0031e-05,1.225e-05,0.00011582
11,0.00010011,1.4215e-05,0.00025375
12,0.00018885,1.5011e-05,0.00060106
13,0.00035032,1.9094e-05,0.0011736
14,0.00079979,2.7661e-05,0.0036474
15,0.0017245,4.5058e-05,0.0078925
16,0.0034601,5.951e-05,0.017461
17,0.0064583,0.00019423,0.038455
18,0.013085,0.0002215,0.068643
19,0.037046,0.00031372,0.2236
20,0.0747,0.00023255,0.36058
21,0.18092,0.00023767,1.4884
22,0.57247,0.00013117,3.2773
23,0.88254,0.0006787,5.9974
24,2.4475,0.00076326,12.079
25,6.0073,0.00013895,38.37
26,8.3423,0.00043549,59.287
27,26.289,0.00079161,199.58
28,75.569,0.00018882,598.95
29,194.5,0.0053815,1903.1
30,252,0.0046592,5821.5
